"case","mesh","quick","stage","rib_count","compliance","volume","analyses","source"
"1","20x20","False","initial_sizing","8","89.72510276602938","45.0","8","Code/results/example_1/results.json:stages[0]"
"1","20x20","False","adaptive","3","32.570558269218125","45.0","22","Code/results/example_1/results.json:stages[1]"
"1","20x20","False","geometry","3","30.154567594647325","45.00000000000001","9","Code/results/example_1/results.json:stages[2]"
"1","20x20","False","rationalized","3","30.154567594647325","45.00000000000001","0","Code/results/example_1/results.json:stages[3]"
"2","40x20","False","initial_sizing","16","21.305551331701817","90.0","6","Code/results/example_2/results.json:stages[0]"
"2","40x20","False","adaptive","8","13.995699026421185","89.99999999999999","49","Code/results/example_2/results.json:stages[1]"
"2","40x20","False","geometry","8","12.953493617395223","90.00000000000001","17","Code/results/example_2/results.json:stages[2]"
"2","40x20","False","rationalized","5","13.08414981614593","89.99994651421633","21","Code/results/example_2/results.json:stages[3]"
"3","80x40","False","initial_sizing","64","66.02369392120714","11310.0","27","Code/results/example_3/results.json:stages[0]"
"3","80x40","False","adaptive","32","46.540051127200684","11310.000000000004","30","Code/results/example_3/results.json:stages[1]"
"3","80x40","False","geometry","32","17.457879167881654","11310.000000000002","30","Code/results/example_3/results.json:stages[2]"
"3","80x40","False","rationalized","26","17.501170545842463","11310.000000000004","21","Code/results/example_3/results.json:stages[3]"
"3","80x40","False","further_rationalized","14","18.36238273745209","11310.0","38","Code/results/example_3/results.json:stages[4]"
"4","80x40","False","initial_sizing","64","477.9296923539826","11310.0","5","Code/results/example_4/results.json:stages[0]"
"4","80x40","False","adaptive","24","326.90169693863265","11309.999999999996","82","Code/results/example_4/results.json:stages[1]"
"4","80x40","False","geometry","24","268.920312856092","11309.999999999998","44","Code/results/example_4/results.json:stages[2]"
"4","80x40","False","rationalized","10","266.3127460952643","11309.999999999995","31","Code/results/example_4/results.json:stages[3]"
"4","80x40","False","further_rationalized","8","260.04730859121213","11310.000000000004","52","Code/results/example_4/results.json:stages[4]"
